# t(year) ,phi(rad), x(mas), pllx_al, pllx_ac
2.014667539102755200e+03,-2.457085609436035156e+00,2.293324483282921733e+01,-7.113887570144659112e-01,7.233312892805769945e-01
2.014667539102755200e+03,-2.457085609436035156e+00,2.268489089941381920e+01,-7.113887570144659112e-01,7.233312892805769945e-01
2.014667539102755200e+03,-2.457085609436035156e+00,2.295207872554767192e+01,-7.113887570144659112e-01,7.233312892805769945e-01
2.014667539102755200e+03,-2.457085609436035156e+00,2.283651308012580827e+01,-7.113887570144659112e-01,7.233312892805769945e-01
2.014667539102755200e+03,-2.457085609436035156e+00,2.289821794026117630e+01,-7.113887570144659112e-01,7.233312892805769945e-01
2.014667539102755200e+03,-2.457085609436035156e+00,2.297625018262386121e+01,-7.113887570144659112e-01,7.233312892805769945e-01
2.014667539102755200e+03,-2.457085609436035156e+00,2.300360366873891138e+01,-7.113887570144659112e-01,7.233312892805769945e-01
2.014667539102755200e+03,-2.457085609436035156e+00,2.240440617859468730e+01,-7.113887570144659112e-01,7.233312892805769945e-01
2.014667539102755200e+03,-2.457085609436035156e+00,2.272906196100761989e+01,-7.113887570144659112e-01,7.233312892805769945e-01
2.014667741737424649e+03,-2.458689451217651367e+00,2.316409620293717708e+01,-7.109260504073360298e-01,7.239007569340326631e-01
2.014667741737424649e+03,-2.458689451217651367e+00,2.302299693366594724e+01,-7.109260504073360298e-01,7.239007569340326631e-01
2.014667741737424649e+03,-2.458689451217651367e+00,2.311301727092451941e+01,-7.109260504073360298e-01,7.239007569340326631e-01
2.014667741737424649e+03,-2.458689451217651367e+00,2.269580961452453494e+01,-7.109260504073360298e-01,7.239007569340326631e-01
2.014667741737424649e+03,-2.458689451217651367e+00,2.277217972253027867e+01,-7.109260504073360298e-01,7.239007569340326631e-01
2.014667741737424649e+03,-2.458689451217651367e+00,2.280675183055351951e+01,-7.109260504073360298e-01,7.239007569340326631e-01
2.014667741737424649e+03,-2.458689451217651367e+00,2.308497993912182622e+01,-7.109260504073360298e-01,7.239007569340326631e-01
2.014667741737424649e+03,-2.458689451217651367e+00,2.303213477181272495e+01,-7.109260504073360298e-01,7.239007569340326631e-01
2.014667741737424649e+03,-2.458689451217651367e+00,2.272097867816157901e+01,-7.109260504073360298e-01,7.239007569340326631e-01
2.014884049265713656e+03,1.522226452827453613e+00,-7.807806403562151942e+00,2.506590954667774485e-01,7.039314056997395541e-01
2.014884049265713656e+03,1.522226452827453613e+00,-7.868398644440794953e+00,2.506590954667774485e-01,7.039314056997395541e-01
2.014884049265713656e+03,1.522226452827453613e+00,-7.869136044644427841e+00,2.506590954667774485e-01,7.039314056997395541e-01
2.014884049265713656e+03,1.522226452827453613e+00,-7.913623369067005697e+00,2.506590954667774485e-01,7.039314056997395541e-01
2.014884049265713656e+03,1.522226452827453613e+00,-7.922777520386370398e+00,2.506590954667774485e-01,7.039314056997395541e-01
2.014884049265713656e+03,1.522226452827453613e+00,-7.908981634838906594e+00,2.506590954667774485e-01,7.039314056997395541e-01
2.014884049265713656e+03,1.522226452827453613e+00,-8.248782967569834312e+00,2.506590954667774485e-01,7.039314056997395541e-01
2.014884049265713656e+03,1.522226452827453613e+00,-7.759950416838900189e+00,2.506590954667774485e-01,7.039314056997395541e-01
