obs_time_tcb,centroid_pos_al,centroid_pos_error_al,parallax_factor_al,scan_pos_angle,field_of_view
2457028.20332977,-8.961055609793407,0.04329203,-0.62195534,-2.19937017,1
2457082.68191414,62.04217513373179,0.04059526,-0.67258847,-1.36001863,1
2457122.41654348,41.567595242067654,0.04132793,0.48910677,-2.05982463,1
2457122.49054561,41.99407410841814,0.0457373,0.48667377,-2.05516821,2
2457144.49756229,81.02854027903457,0.0443908,-0.3926222,-0.51686215,2
2457144.67372116,80.61258588754191,0.04266284,-0.39809835,-0.50550665,1
2457144.74773224,80.36852263985817,0.04457104,-0.4003996,-0.50072508,2
2457222.9792744,-51.197075743192684,0.03762832,-0.68653136,1.15183522,2
2457223.15547189,-51.846034946776534,0.04548294,-0.68965268,1.15825117,1
2457309.1040491,-2.6264515443786443,0.0380821,0.48921368,1.08457992,1
2457309.17805277,-2.226123175468059,0.03900473,0.49219567,1.08161151,2
2457351.8645756,-68.2874287704837,0.04068078,-0.42118692,3.1210925,2
2457352.04074278,-68.43287697417884,0.03808471,-0.4124141,3.11217686,1
2457364.79477418,-53.37553943299904,0.04112006,0.46549043,2.26458041,1
2457364.86879113,-53.1757275270972,0.04241706,0.46917936,2.26098354,2
2457429.06552935,-23.415811876897354,0.04258232,0.69957542,3.10499095,2
2457459.48044214,30.17178675021436,0.04292791,-0.63072878,-1.21841247,1
2457459.55446905,30.251517222901196,0.04129003,-0.63202024,-1.21522646,2
2457503.46568049,45.67920826923239,0.0400855,0.42572206,-1.68622794,1
2457503.53971703,45.75197178034037,0.04798128,0.42331204,-1.68139518,2
2457503.71582877,46.07918971773233,0.03941527,0.41757765,-1.66992127,1
2457503.7898573,46.24762717251356,0.04073354,0.41513956,-1.66506582,2
2457524.72365107,29.816122796192566,0.04683559,-0.39446267,-0.20358867,1
2457524.79761942,29.619420803354075,0.04337704,-0.39688805,-0.19875455,2
2457571.95770884,65.19744195754016,0.04090618,0.62345749,-0.55331173,1
2457572.03169966,65.1608723747704,0.04072514,0.62203783,-0.5500018199999999,2
2457602.94721579,-46.04963876915585,0.04648319,-0.71746916,1.37912663,1
2457603.02121859,-46.039425225277945,0.04302633,-0.71801668,1.38082785,2
2457670.89056634,-49.51611882934833,0.0391751,-0.50752175,2.24096344,1
2457670.96458312,-49.33408297278184,0.04085778,-0.50408423,2.2377352,2
2457684.89397305,-0.2200691107901539,0.04350625,0.43687215,1.3464919,1
2457684.96801878,-0.004975435273412744,0.03994336,0.44033608,1.34299846,2
2457727.65447962,-30.179535537990354,0.04289729,-0.46209747,-2.90522526,2
2457742.33392052,-5.584651813332551,0.05010297,0.53113884,2.43552966,1
2457742.40795103,-5.353015257241274,0.04659371,0.53436118,2.43252718,2
2457779.86785829,-14.93980758116582,0.03847706,-0.69748724,-1.82223568,2
2457808.0913159,13.822032989681766,0.04154292,0.68355811,-2.96740633,1
2457808.16532377,13.867198917277552,0.04471692,0.68253857,-2.96499365,2
2457836.58666907,-8.250133992849545,0.03812755,-0.57539302,-1.07328382,1
2457836.66072053,-8.243812307032572,0.04263475,-0.57703286,-1.06950499,2
2457884.32306912,18.944923119264967,0.04066865,0.3957682,-1.32853849,1
2457884.39710364,18.860963279754763,0.04409648,0.39342788,-1.32370632,2
2457906.08035435,-13.220521067755424,0.03922828,-0.45177168,0.17557679000000004,1
2457906.15436629,-13.386706569399628,0.04515741,-0.45423433,0.18026555,2
2457906.3305171,-13.588369989333948,0.04138912,-0.46000108,0.19131001,1
2457949.31280038,21.740428962676187,0.0411489,0.67453855,-0.4151561200000001,1
2457949.38682373,21.63772033906351,0.04058298,0.67350888,-0.41248589,2
2457982.54524398,-20.843127007053816,0.04131188,-0.71711183,1.57591775,1
2458048.56029156,-1.5447308285957397,0.03848737,-0.44148487,2.42167925,2
2458048.73645797,-1.1658571732648515,0.03876098,-0.43226418,2.41268065,1
2458060.81436757,24.40359335558951,0.04218333,0.40050596,1.61026558,2
2458103.17884009,-10.995929904934544,0.03851373,-0.51956356,-2.6505161,1
2458103.25286223,-10.841718762514326,0.04036994,-0.5168075,-2.65324627,2
2458120.25477494,42.647076252199156,0.0487227,0.60137409,2.59292501,2
2458156.1480413,-40.74457749643301,0.03892714,-0.71020657,-1.65664283,1
2458187.63513924,34.06444268053778,0.04403234,0.63940805,-2.71756896,1
2458187.70917691,33.917309862531695,0.03878867,0.63766366,-2.71415465,2
2458213.95980711,-50.774060176294185,0.03957918,-0.50964111,-0.92294901,2
2458214.1359682,-51.09485488104063,0.04184985,-0.51417345,-0.9129132100000001,1
2458263.8728995,-23.51126503165284,0.03921559,0.42237949,-1.06381368,1
2458263.94690619,-23.71203944370888,0.03965537,0.42018074,-1.0591766,2
2458326.61020499,-18.250439296010672,0.0457787,0.70617044,-0.26978653,1
2458326.68420138,-18.18353630457039,0.04309433,0.70554751,-0.2677914,2
2458361.65912497,17.79620987643429,0.038891,-0.68897134,1.75154675,2
2458383.58224096,8.928830194466185,0.03912289,0.61076647,0.60846751,1
2458425.7747429,44.93020971604992,0.04640629,-0.39346054,2.62211133,1
2458425.8488532,45.080746035005674,0.04912345,-0.38941193,2.61808444,2
2458437.02901016,65.8571348259993,0.04459809,0.38932174,1.86096846,1
2458478.79518367,-12.763906505161989,0.04011722,-0.57499427,-2.41560999,2
2458498.47099512,87.25504645981499,0.04106734,0.66100234,2.75094972,1
2458532.44547078,-76.93832187668447,0.03901304,-0.70486915,-1.50403818,1
2458567.68058775,28.433673364205426,0.04058249,0.57405818,-2.42428964,1
2458567.7545844,28.01668565573668,0.04064699,0.57184613,-2.42014985,2
2458592.00937991,-95.53345658652046,0.03928944,-0.44946492,-0.74010529,2
